央视-河南电信,#genre#
广东卫视4K,http://123.160.108.7:6610/PLTV1/190142/1.m3u8?
广东卫视4K,http://123.160.108.15:6610/PLTV1/190142/1.m3u8?
深圳卫视4K,http://123.160.108.15:6610/PLTV1/190141/1.m3u8?
深圳卫视4K,http://123.160.108.7:6610/PLTV1/190141/1.m3u8?
多彩文体4K,http://222.85.69.6/PLTV/88888888/224/3221227134/index.m3u8?icpid=88888888&servicetype=1
省内-河南电信,#genre#
河南都市频道,http://219.150.217.47:6610/PLTV1/600/index.m3u8?icpid=dxrm1
河南民生频道,http://219.150.217.47:6610/PLTV1/620/index.m3u8?icpid=dxrm1
河南法制频道,http://219.150.217.47:6610/PLTV1/640/index.m3u8?icpid=dxrm1
河南电视剧频道,http://219.150.217.47:6610/PLTV1/660/index.m3u8?icpid=dxrm1
河南新闻频道,http://219.150.217.47:6610/PLTV1/720/index.m3u8?icpid=dxrm1
河南公共频道,http://219.150.217.47:6610/PLTV1/760/index.m3u8?icpid=dxrm1
河南乡村频道,http://219.150.217.47:6610/PLTV1/780/index.m3u8?icpid=dxrm1
河南移动电视,http://222.85.69.6/PLTV/88888888/224/3221227216/index.m3u8?icpid=88888888&servicetype=1
大象健康河南,http://222.85.69.6/PLTV/88888888/224/3221227255/index.m3u8?icpid=88888888&servicetype=1
欢腾购物,http://222.85.69.6/PLTV/88888888/224/3221226983/index.m3u8?icpid=88888888&servicetype=1
河南中华功夫,http://219.150.217.47:6610/PLTV1/860/index.m3u8?icpid=dxrm1
河南收藏天下,http://219.150.217.47:6610/PLTV1/820/index.m3u8?icpid=dxrm1
河南戏曲,http://219.150.217.47:6610/PLTV1/840/index.m3u8?icpid=dxrm1
睛彩河南曲艺,http://219.150.217.47:6610/PLTV1/700/index.m3u8?icpid=dxrm1
睛彩移动戏曲,http://219.150.217.47:6610/PLTV1/800/index.m3u8?icpid=dxrm1
百姓调解,http://219.150.217.47:6610/PLTV1/920/index.m3u8?icpid=dxrm1
河南导视,http://219.150.217.47:6610/PLTV2/3540/index.m3u8?icpid=dxrm1
大美河南,http://219.150.217.47:6610/PLTV2/2100/index.m3u8?icpid=dxrm1
大美河南,http://219.150.217.47:6610/PLTV2/2200/index.m3u8?icpid=dxrm1
地方-河南电信,#genre#
郑州新闻综合,http://219.150.217.47:6610/PLTV1/1680/index.m3u8?icpid=dxrm1
郑州商都频道,http://219.150.217.47:6610/PLTV1/1700/index.m3u8?icpid=dxrm1
郑州文体旅游,http://219.150.217.47:6610/PLTV1/1720/index.m3u8?icpid=dxrm1
郑州豫剧频道,http://219.150.217.47:6610/PLTV1/1740/index.m3u8?icpid=dxrm1
郑州妇女儿童,http://219.150.217.47:6610/PLTV1/1760/index.m3u8?icpid=dxrm1
郑州都市生活,http://219.150.217.47:6610/PLTV1/1780/index.m3u8?icpid=dxrm1
郑州教育台,http://222.85.25.226/PLTV/88888888/224/3221227315/1.m3u8
巩义,http://222.85.69.6/PLTV/88888888/224/3221227190/index.m3u8?icpid=88888888&servicetype=1
